result_column_name,conditions,type,question.name,issue_label,old_value,new_column_name,action_label
action,df$displace_status_returnee == 'yes' & df$calc_returnee == 0,normal,calc_returnee,returnee should not interview in the IDP location.,df$calc_returnee,df$calc_returnee_checked,Flagged
action,df$displace_status_idp == 'yes' & df$calc_idp == 0,normal,calc_idp,IDP should not interview in the Returnee location.,df$calc_idp,df$calc_idp_checked,Flagged
action,as.numeric(df$num_hh_member) > 20,normal,num_hh_member,HH member should not be larger than 20,df$num_hh_member,df$num_hh_member_checked,Flagged
action,as.numeric(df$tot_6_above) > 10,normal,tot_6_above,"Large household size, please correct/confirm",df$tot_6_above,df$tot_6_above_checked,Flagged
action,df$primary_livelihood.regular_employment ==1 & df$inc_employment_pension == 0,normal,primary_livelihood.regular_employment,Employment is selected as primary livelihood source but income from employment and pension is given as 0.,df$primary_livelihood.regular_employment,dfprimary_livelihood.regular_employment_checked,Flagged
action,df$primary_livelihood.retirement_pension==1 & df$inc_employment_pension == 0,normal,primary_livelihood.retirement_pension,Pension is selected as primary livelihood source but income from employment and pension is given as 0.,df$primary_livelihood.retirement_pension,df$primary_livelihood.retirement_pension_checked,Flagged
action,as.numeric(df$arrival_displace_date_diff) > 365 & df$idp_first_place == 'yes',date,idp_first_place,"if location is indicated as first place of displacement, while arrival date and displacement date are more than 12 months apart",df$idp_first_place ,df$idp_first_place_checked,Flagged
action,as.numeric(df$return_durationdisplace) > 80,normal,return_durationdisplace,"Flag if length of displacment is greater than 80 monhts (the tool allows a maximum of 84 months, to give a small buffer in case people miscalculate, however Januar 2014 would be 80 months agon in September) > so maybe recode anything between 81 - 84 months to 80 months instead?",df$return_durationdisplace,df$return_durationdisplace_checked,Flagged
action,df$not_eating ==   'yes'  & df$hungry ==  'no' ,normal,not_eating,"Flag if respondents report going a whole day and night without eating, while reporting that they always had enough resources to get food and never went to sleep at night hungry because there was no food",df$not_eating,df$not_eating_checked,Flagged
action,df$movement_intentions_b12  ==   'remain'  & (df$movement_intentions_b ==  'move_inside_iraq' | df$movement_intentions_b ==   'move_outside_iraq' ),normal,movement_intentions,Flag if respondent reports indending to move_inside_iraq or move_outside_iraq in the next three months (movement_intentions_b) and also reporting intending to remain in current location in the next 12 month period,df$movement_intentions,df$movement_intentions_checked,Flagged
action,as.numeric(df$health_accessed_number) > 0 & as.numeric(df$difficulty_accessing_services_001.no_issues) == 1,normal,difficulty_accessing_services_001,"Household reported that at least one member were not able to obtain health care while they report there is no issue in accessing health services.
in case it relates to one of the choices, choose one or more from below choices (Please put the second part of the choices for the new value):
1. No issues --> no_issues
2. Have not tried to access medical services --> not_tried
3. Cost of services and/or medicine was too high --> high_costs
4. Did not get access to qualified health staff at the health facility --> no_access_qualified_staff
5. Problems with civil documents --> pb_civil_documents
6. Public health clinic did not provide referral --> no_referral
7. Public health clinic not open --> not_open
8. The treatment center was too far away/Transportation constraints --> long_distance_transportation_constraints
9. Medical staff refused treatment without justification --> medical_staff_refused_treament
10. No medicine available at health facility/pharmacy --> no_medicine_available
11. No treatment available for my disease at the health facility --> no_treatment_my_disability
12. Health services not inclusive of people with disabilities --> not_inclusive_disabilities
13. Insufficient number of female health staff --> insufficient_nb_female_staff
14. Fear of contracting COVID-19 --> fear_covid
15. Fear or distrust of health worker or treatment --> fear_distrust
16. Waiting time to receive service too long --> waiting_time_too_long",df$difficulty_accessing_services_001,df$difficulty_accessing_services_001_checked,Flagged
action,"as.numeric(df$rent_exp) == 0 & df$shelter_type_area_assessed %in% c(""good_rental"", ""damaged_rental"")",normal,rent_exp,Household reporting no rent expenses but living in rental shelter type,df$rent_exp,df$rent_exp_checked,Flagged
